host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
delta6,DSM,T4,x10,C1,SP10WT,A,50000,3839,50000,30,48843,1969,9.891178121181024,46874,40511,40128,383,104527220.6303725,997655.6394894504
delta6,DSM,T4,x10,C2,SP10WT,B,50000,5338,50000,30,49201,4486,8.987362726749542,44715,33258,32006,1252,59958786.06219558,2345447.7332334206
delta6,DSM,T4,x10,C3,SP10WT,C,50000,4539,50000,30,48922,4000,9.574846908575324,44922,36792,35980,812,79268561.35712713,1788940.2952192114
delta6,DSM,T4,x10,C4,SP10dF,A,50000,3394,50000,30,48705,1696,9.718033092895952,47009,42907,42106,801,124060106.06953448,2360047.142015321
delta6,DSM,T4,x10,C5,SP10dF,B,50000,5185,50000,30,49145,2733,8.98950801329622,46412,33010,31681,1329,61101253.616200574,2563162.970106075
delta6,DSM,T4,x10,C6,SP10dF,C,50000,4090,50000,30,48907,1776,9.800085083751421,47131,39901,39531,370,96652811.73594132,904645.4767726162
delta6,DSM,T4,x10,C7,noPHI,A,50000,1804,50000,30,47490,219,8.9579626385323,47271,41051,20175,20876,111834811.52993348,115720620.84257206
delta6,DSM,T4,x10,C8,noPHI,B,50000,1672,50000,30,47586,133,8.722245265303911,47453,40880,16233,24647,97087320.57416268,147410287.08133972
delta6,DSM,T4,x10,C9,noPHI,C,50000,1734,50000,30,47533,184,9.147841873568495,47349,40783,22080,18703,127335640.1384083,107860438.29296423
